user_lat,user_lon,logit_0,logit_1,logit_2,logit_3,logit_4,nested_0,nested_1,nested_2,nested_3,nested_4,cnl_0,cnl_1,cnl_2,cnl_3,cnl_4
29.65862267536029,94.93962753959686,10,37,54,44,75,28,34,10,48,94,44,37,16,70,34
11.143085624387028,44.64830033022682,54,87,53,74,70,30,88,93,39,82,54,11,10,39,63
59.93777380879396,79.23516406666718,35,42,40,76,21,12,12,99,16,44,35,30,44,82,26
89.85939309480028,20.27973343457036,82,94,51,54,34,9,50,26,35,39,10,76,82,44,78
22.61897544167516,25.913081127898,40,43,37,30,23,40,82,35,35,97,2,35,42,91,10
60.24311571396523,30.69314154991649,30,88,76,89,88,52,88,69,86,30,88,62,88,39,39
82.15398926987304,65.63660323946081,46,79,72,39,89,42,77,89,77,29,4,94,44,89,44
51.80922069233554,49.03508963822968,30,28,34,9,88,19,30,37,53,30,30,30,26,8,30
49.95999955316118,72.02741330731874,3,31,53,81,39,69,39,63,44,53,16,82,16,44,94
22.130815024079244,60.90528380291378,55,26,54,34,34,70,35,77,69,93,52,52,44,24,93
65.26244165636352,24.53481143296987,30,55,76,37,55,36,94,58,86,94,29,9,76,16,21
80.25932227232705,8.246374972188796,97,44,76,23,33,88,88,77,44,36,21,52,26,82,53
15.605199592730044,0.8944457695322816,21,44,89,9,29,40,30,77,84,88,44,39,44,70,37
87.3075021374662,99.57656816886036,8,94,26,26,34,69,23,94,16,35,25,82,94,94,4
31.3846448177717,67.37911899925142,32,46,37,62,61,44,30,38,42,34,29,59,24,44,16
15.55113737243552,97.89035442651738,16,44,31,25,11,34,25,30,40,25,21,16,35,23,66
88.60172230066613,18.025081789469954,63,64,42,44,12,29,9,11,39,42,21,42,42,76,21
18.48173969534608,14.68663635063152,89,42,58,34,51,9,26,14,24,41,44,32,53,7,44
71.12758119046339,85.00189585489525,39,8,72,35,75,94,94,94,99,35,53,29,73,44,82
0.9948871020755146,16.89618837206882,52,94,54,70,83,30,90,11,39,32,30,30,46,25,44
14.287101122656232,84.9984325953163,29,37,64,10,29,29,36,94,89,34,82,16,85,25,35
47.32457882758604,35.33766101740606,37,30,70,30,30,58,8,97,35,83,44,30,82,9,35
14.990666078023906,42.75268739188789,50,86,32,31,24,97,63,25,83,88,82,30,21,76,67
38.55293890859034,23.83089765811305,40,44,97,76,9,30,42,88,99,95,18,39,44,53,54
86.72248043832427,66.86381590625133,39,76,30,12,36,95,99,30,89,82,26,73,89,36,10
61.69302498673412,46.67312634930786,84,53,45,47,30,84,69,32,82,63,4,35,63,25,10
87.98552277611265,2.7913191299140494,45,89,18,85,30,16,93,46,30,58,34,76,25,98,95
17.21479567742412,72.71619669314622,21,34,76,25,6,58,25,82,26,96,94,40,25,44,88
48.88433147599371,74.77756218153377,30,25,70,79,94,44,27,24,4,21,3,3,35,30,88
82.53847917335334,67.36777758876984,42,70,89,25,30,35,17,82,82,60,35,94,19,39,32
86.1102564724157,69.90982590877056,40,19,76,25,44,23,25,30,30,94,82,16,12,26,30
37.19665121628801,3.5451153963996784,88,17,50,16,35,82,25,36,21,63,26,66,42,76,21
3.3479986032810105,72.16110958118156,70,4,37,70,32,39,44,46,30,30,53,97,52,21,9
90.41093390305606,63.08436267393866,94,94,46,21,89,71,23,7,30,63,41,30,35,16,44
48.33672328556059,36.89582202297808,29,93,50,32,9,26,63,30,97,76,85,8,30,30,58
96.14849542401704,11.78218516493308,8,88,42,94,50,30,16,42,39,37,16,35,21,58,42
86.88247200690138,99.1131437724134,82,89,26,30,94,82,25,9,35,16,29,94,94,53,94
10.27673408291424,49.13394030738295,40,25,93,82,18,10,63,30,88,60,21,94,42,37,26
43.99447548413378,2.972716971037337,45,16,17,45,35,88,11,62,10,59,42,29,44,9,27
47.30615855604346,66.82674016584113,53,94,40,7,68,97,78,44,75,44,44,29,44,73,44
9.339210430815614,64.60214292059462,85,85,11,81,35,37,42,36,29,9,29,53,94,24,29
82.01612386839457,74.66658707857641,9,23,11,55,40,19,94,93,30,52,76,82,27,35,85
57.41581495168582,94.81292908065528,79,39,40,26,36,29,82,94,9,3,82,40,27,94,53
37.287350931465625,42.83893837665511,88,70,50,88,40,26,70,30,25,86,85,3,44,71,76
94.90142486983896,62.39417647117741,76,30,43,63,94,19,9,53,42,21,44,3,12,19,53
57.76465088208301,37.822304154440914,34,36,25,88,27,82,88,42,9,35,59,3,76,30,34
68.42766342033715,75.90230654179584,98,55,94,77,51,94,12,40,30,42,34,44,19,73,29
12.173816827830809,62.92097542186571,37,37,9,16,89,58,25,44,16,37,19,26,39,44,53
98.69870370487682,65.17847011848704,91,94,95,88,9,60,25,42,25,19,6,53,9,82,35
9.708504848146514,86.06506255554811,11,9,35,36,16,29,40,32,88,63,16,90,53,44,53
53.170854531616285,49.44682984041544,89,88,30,55,17,40,70,30,82,63,12,39,42,30,30
11.86439039390642,67.86580599114971,12,40,29,36,34,46,39,4,94,94,54,7,94,82,25
42.119752445668745,56.79139842575361,3,69,63,88,82,41,16,35,58,69,26,29,66,94,39
23.69874234238202,7.261758982964583,60,30,14,11,33,63,70,99,55,99,35,99,52,30,30
88.87288950116337,56.16843889616886,70,63,9,76,92,30,11,29,26,88,30,29,94,58,26
91.46638781610636,94.81997632175468,16,35,94,11,30,94,93,64,40,14,79,42,82,4,82
3.222562002073892,63.99867642809409,34,53,32,70,99,30,30,60,32,63,24,29,42,24,44
17.26964059671291,82.80286562649385,79,34,44,18,62,24,11,11,10,9,35,40,94,8,94
53.33621389454141,18.194731768860805,63,47,30,26,77,4,10,82,86,62,44,39,44,55,63
0.7939626394425248,60.40604264598899,70,50,24,87,17,37,44,10,32,82,25,29,21,18,91
32.25233291735007,37.863989345876746,30,23,50,70,40,58,70,50,50,50,17,82,55,4,53
30.020610305110303,33.64308226659665,32,52,52,63,88,30,30,10,25,97,41,88,76,52,30
31.926267234878715,47.87045206789347,94,32,46,55,89,30,53,21,9,28,10,88,18,42,66
43.404020759891736,77.27172804443087,31,40,29,27,99,40,32,11,32,44,19,21,24,82,94
99.2950086585945,29.39651272382269,37,91,58,17,94,79,26,36,42,73,12,26,76,12,94
31.59122296872271,47.77407226308659,36,70,31,47,30,59,44,14,30,94,44,53,39,40,42
97.18729640301656,45.31602501747176,27,94,97,30,63,9,21,14,44,30,42,39,26,16,30
11.446987716248858,65.59594863413326,37,16,37,1,9,29,39,63,53,42,29,25,10,44,26
62.1155300157152,60.16929750771003,27,23,21,14,46,16,30,88,22,90,76,91,43,25,40
27.865052119951173,70.55060577023093,93,89,44,90,40,30,42,25,88,44,94,25,26,52,16
46.95449002739698,55.869843438921954,25,80,30,55,75,21,30,54,59,24,21,76,7,44,26
78.47811186052677,96.88407116289106,36,91,2,91,12,35,94,8,44,41,35,82,94,30,3
52.39476007956817,50.9731471351279,76,54,21,36,34,30,53,32,82,97,30,35,39,42,30
83.76216569817417,63.96155075222318,55,63,45,16,82,11,9,82,11,44,29,21,89,89,89
88.74728930379158,21.680482983118964,90,30,40,51,77,30,9,44,9,93,78,58,58,82,53
57.452382613306106,9.312043999269903,82,51,32,7,37,88,99,32,35,97,52,26,26,36,16
49.21546545485839,7.061188276916386,37,10,14,62,69,80,63,55,17,97,35,94,16,26,39
84.37803261916218,79.24719047130556,70,94,76,82,25,88,35,32,29,35,44,82,43,9,44
46.90589783671858,8.765670678760074,95,45,88,86,76,75,53,2,32,17,19,42,94,30,27
5.675779028976224,77.85254596065285,51,35,37,25,34,76,67,44,11,16,16,30,29,85,89
29.1221526464302,38.2125863250133,9,86,76,52,30,32,44,82,32,30,94,26,21,53,28
42.0599660485954,32.123881626384446,42,59,35,99,47,42,11,52,37,82,26,25,94,82,42
80.00330730591743,35.342486463149484,50,11,91,44,69,62,91,76,21,39,9,8,26,25,76
76.51094972180483,0.7397092850356723,94,30,39,17,32,97,60,36,26,35,8,30,99,88,28
55.40009140645834,4.439944793850692,17,75,94,21,39,8,97,93,99,44,55,9,12,99,21
39.29891826214148,39.74251281714858,34,30,37,93,54,30,63,16,39,30,85,39,44,85,26
62.37991458135404,89.35089247359412,26,3,85,94,44,94,12,82,64,82,29,29,25,35,35
85.69392700074067,13.30823643712018,12,15,37,40,46,30,44,30,24,94,64,44,21,94,66
41.405555628979386,90.11288754588576,50,29,34,34,40,34,30,76,44,11,73,30,82,52,29
0.0281659907133913,28.9134489951264,21,35,18,16,37,30,11,93,24,52,11,30,29,8,16
48.261350303459125,37.35144681399465,35,98,37,12,58,76,85,66,30,62,95,53,21,62,82
61.19132387401309,26.411047936859088,39,15,12,12,17,9,44,9,9,44,30,42,76,73,9
90.31404187810284,44.31211468087679,72,39,91,32,69,35,76,64,42,32,94,25,30,19,26
1.468291512587705,96.76039162543351,70,29,94,21,10,36,93,7,86,16,36,25,79,94,44
87.75622755734514,78.61672871374672,1,45,35,80,10,41,28,52,24,82,6,63,25,85,94
0.6243179969640078,14.5735807570046,40,36,73,26,27,7,54,14,99,53,16,21,82,66,17
55.74696595198277,91.53906062152429,40,44,44,11,88,24,16,7,25,93,25,16,69,40,40
6.699164585542072,92.5234879269185,29,10,37,52,67,73,25,52,44,25,69,25,11,72,35
79.07144953918092,41.295045321704194,16,36,53,35,30,30,9,46,36,71,42,39,94,39,30
92.79606490409432,8.20916196418623,42,42,88,30,42,11,82,76,55,16,30,54,37,26,21
28.08046895140126,83.61175998330229,78,63,46,16,37,82,34,73,63,35,97,10,82,85,25
46.199330185138166,90.04057516496837,40,47,26,3,35,44,54,9,59,75,44,78,53,44,64
45.39722558464133,50.48002219173646,40,27,63,39,39,32,36,38,19,34,30,21,35,42,39
76.08462924456352,44.24706544194266,34,19,16,40,70,93,9,62,30,11,34,39,25,88,30
16.406589515319002,75.23286371004932,30,21,50,16,10,53,52,10,11,22,73,8,29,35,87
49.78117274825071,8.519853158272317,44,88,8,10,27,55,21,77,54,7,34,88,25,17,23
19.68179726866613,8.200345800606213,59,34,78,30,44,35,37,19,35,18,53,30,24,16,10
79.05053210835314,80.13640533493374,44,79,21,46,35,9,30,63,94,82,35,35,35,62,19
4.289618721033572,97.21123354010342,72,53,77,39,37,53,32,94,40,4,23,94,59,53,67
4.346763917307717,95.63132595967708,8,16,72,53,72,16,49,26,29,53,30,29,94,25,9
65.24498900204526,12.810952784397534,88,42,75,53,42,32,32,88,9,44,40,88,21,94,53
35.21216979167004,99.3823064813928,66,82,40,27,37,82,8,4,82,30,29,52,44,85,85
50.99813552594277,42.26283767622942,88,30,7,37,55,17,29,30,8,16,78,30,8,69,85
70.4239749081911,16.57468797644446,17,21,50,17,37,88,42,71,95,26,88,79,82,30,21
69.4546928687456,60.776879597942255,32,3,42,40,39,30,53,36,39,8,40,42,94,29,16
65.95701074014525,59.049383942485214,26,94,36,45,23,39,89,42,94,85,40,35,16,35,82
68.12894486976583,53.159759415349285,55,9,90,30,9,48,94,25,88,97,35,27,85,26,4
60.08394840663874,92.92534959840653,79,40,9,30,27,29,94,40,94,52,29,82,44,3,40
68.58556635492324,9.98908182311633,31,88,30,30,79,44,9,44,21,55,21,35,35,9,53
57.09073530917658,9.207451267354328,9,92,34,55,76,37,82,4,88,55,16,26,9,21,21
92.15633840215604,22.42677769983873,42,16,42,12,62,32,82,63,94,93,76,42,85,44,25
5.444423079697414,66.17375277479147,30,37,44,99,72,29,88,24,93,76,82,35,24,53,9
